TCVR_CHIP_ID,TCVR_CORE_ID,TCVR_LANE,OE_CHIP_ID,OE_CORE_ID,OE_LANE,LASER_SOURCE_CHIP_ID,LASER_SOURCE_CORE_ID,LASER_SOURCE_LANE
12,0,9,14,0,9,14,0,9
12,0,10,14,0,10,14,0,10
12,0,11,14,0,11,14,0,11
12,0,12,14,0,12,14,0,12
12,0,13,14,0,13,14,0,13
12,0,14,14,0,14,14,0,14
12,0,15,14,0,15,14,0,15
12,0,16,14,0,16,14,0,16
12,0,17,14,0,17,14,0,17
12,0,18,14,0,18,14,0,18
12,0,19,14,0,19,14,0,19
12,0,20,14,0,20,14,0,20
12,0,21,14,0,21,14,0,21
12,0,22,14,0,22,14,0,22
12,0,23,14,0,23,14,0,23
12,0,24,14,0,24,14,0,24
12,0,25,14,0,25,14,0,25
12,0,26,14,0,26,14,0,26
12,0,27,14,0,27,14,0,27
12,0,28,14,0,28,14,0,28
12,0,29,14,0,29,14,0,29
12,0,30,14,0,30,14,0,30
12,0,31,14,0,31,14,0,31
13,0,0,15,0,0,15,0,0
13,0,1,15,0,1,15,0,1
13,0,2,15,0,2,15,0,2
13,0,3,15,0,3,15,0,3
13,0,4,15,0,4,15,0,4
13,0,5,15,0,5,15,0,5
13,0,6,15,0,6,15,0,6
13,0,7,15,0,7,15,0,7
13,0,8,15,0,8,15,0,8
13,0,9,15,0,9,15,0,9
13,0,10,15,0,10,15,0,10
13,0,11,15,0,11,15,0,11
13,0,12,15,0,12,15,0,12
13,0,13,15,0,13,15,0,13
13,0,14,15,0,14,15,0,14
13,0,15,15,0,15,15,0,15
13,0,16,15,0,16,15,0,16
13,0,17,15,0,17,15,0,17
13,0,18,15,0,18,15,0,18
13,0,19,15,0,19,15,0,19
13,0,20,15,0,20,15,0,20
13,0,21,15,0,21,15,0,21
13,0,22,15,0,22,15,0,22
13,0,23,15,0,23,15,0,23
13,0,24,15,0,24,15,0,24
13,0,25,15,0,25,15,0,25
13,0,26,15,0,26,15,0,26
13,0,27,15,0,27,15,0,27
13,0,28,15,0,28,15,0,28
13,0,29,15,0,29,15,0,29
13,0,30,15,0,30,15,0,30
13,0,31,15,0,31,15,0,31
14,0,0,16,0,0,16,0,0
14,0,1,16,0,1,16,0,1
14,0,2,16,0,2,16,0,2
14,0,3,16,0,3,16,0,3
14,0,4,16,0,4,16,0,4
14,0,5,16,0,5,16,0,5
14,0,6,16,0,6,16,0,6
14,0,7,16,0,7,16,0,7
14,0,8,16,0,8,16,0,8
14,0,9,16,0,9,16,0,9
14,0,10,16,0,10,16,0,10
14,0,11,16,0,11,16,0,11
14,0,12,16,0,12,16,0,12
14,0,13,16,0,13,16,0,13
14,0,14,16,0,14,16,0,14
14,0,15,16,0,15,16,0,15
14,0,16,16,0,16,16,0,16
14,0,17,16,0,17,16,0,17
14,0,18,16,0,18,16,0,18
14,0,19,16,0,19,16,0,19
14,0,20,16,0,20,16,0,20
14,0,21,16,0,21,16,0,21
14,0,22,16,0,22,16,0,22
14,0,23,16,0,23,16,0,23
14,0,24,16,0,24,16,0,24
14,0,25,16,0,25,16,0,25
14,0,26,16,0,26,16,0,26
14,0,27,16,0,27,16,0,27
14,0,28,16,0,28,16,0,28
14,0,29,16,0,29,16,0,29
14,0,30,16,0,30,16,0,30
14,0,31,16,0,31,16,0,31
