TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
103,1 2 3 4 5 6 7 8,1,103,CPLD,/run/devmap/xcvrs/xcvr_ctrl_121/xcvr_reset_121,1,0,/run/devmap/xcvrs/xcvr_ctrl_121/xcvr_present_121,1,0,103,I2C,/run/devmap/xcvrs/xcvr_io_103,103,/sys/class/leds/port89_led1:blue:status,/sys/class/leds/port89_led2:amber:status
104,1 2 3 4 5 6 7 8,1,104,CPLD,/run/devmap/xcvrs/xcvr_ctrl_122/xcvr_reset_122,1,0,/run/devmap/xcvrs/xcvr_ctrl_122/xcvr_present_122,1,0,104,I2C,/run/devmap/xcvrs/xcvr_io_104,104,/sys/class/leds/port90_led1:blue:status,/sys/class/leds/port90_led2:amber:status
105,1 2 3 4 5 6 7 8,1,105,CPLD,/run/devmap/xcvrs/xcvr_ctrl_27/xcvr_reset_27,1,0,/run/devmap/xcvrs/xcvr_ctrl_27/xcvr_present_27,1,0,105,I2C,/run/devmap/xcvrs/xcvr_io_105,105,/sys/class/leds/port123_led1:blue:status,/sys/class/leds/port123_led2:amber:status
106,1 2 3 4 5 6 7 8,1,106,CPLD,/run/devmap/xcvrs/xcvr_ctrl_28/xcvr_reset_28,1,0,/run/devmap/xcvrs/xcvr_ctrl_28/xcvr_present_28,1,0,106,I2C,/run/devmap/xcvrs/xcvr_io_106,106,/sys/class/leds/port124_led1:blue:status,/sys/class/leds/port124_led2:amber:status
107,1 2 3 4 5 6 7 8,1,107,CPLD,/run/devmap/xcvrs/xcvr_ctrl_85/xcvr_reset_85,1,0,/run/devmap/xcvrs/xcvr_ctrl_85/xcvr_present_85,1,0,107,I2C,/run/devmap/xcvrs/xcvr_io_107,107,/sys/class/leds/port27_led1:blue:status,/sys/class/leds/port27_led2:amber:status
108,1 2 3 4 5 6 7 8,1,108,CPLD,/run/devmap/xcvrs/xcvr_ctrl_86/xcvr_reset_86,1,0,/run/devmap/xcvrs/xcvr_ctrl_86/xcvr_present_86,1,0,108,I2C,/run/devmap/xcvrs/xcvr_io_108,108,/sys/class/leds/port28_led1:blue:status,/sys/class/leds/port28_led2:amber:status
109,1 2 3 4 5 6 7 8,1,109,CPLD,/run/devmap/xcvrs/xcvr_ctrl_87/xcvr_reset_87,1,0,/run/devmap/xcvrs/xcvr_ctrl_87/xcvr_present_87,1,0,109,I2C,/run/devmap/xcvrs/xcvr_io_109,109,/sys/class/leds/port59_led1:blue:status,/sys/class/leds/port59_led2:amber:status
110,1 2 3 4 5 6 7 8,1,110,CPLD,/run/devmap/xcvrs/xcvr_ctrl_88/xcvr_reset_88,1,0,/run/devmap/xcvrs/xcvr_ctrl_88/xcvr_present_88,1,0,110,I2C,/run/devmap/xcvrs/xcvr_io_110,110,/sys/class/leds/port60_led1:blue:status,/sys/class/leds/port60_led2:amber:status
111,1 2 3 4 5 6 7 8,1,111,CPLD,/run/devmap/xcvrs/xcvr_ctrl_123/xcvr_reset_123,1,0,/run/devmap/xcvrs/xcvr_ctrl_123/xcvr_present_123,1,0,111,I2C,/run/devmap/xcvrs/xcvr_io_111,111,/sys/class/leds/port91_led1:blue:status,/sys/class/leds/port91_led2:amber:status
112,1 2 3 4 5 6 7 8,1,112,CPLD,/run/devmap/xcvrs/xcvr_ctrl_124/xcvr_reset_124,1,0,/run/devmap/xcvrs/xcvr_ctrl_124/xcvr_present_124,1,0,112,I2C,/run/devmap/xcvrs/xcvr_io_112,112,/sys/class/leds/port92_led1:blue:status,/sys/class/leds/port92_led2:amber:status
113,1 2 3 4 5 6 7 8,1,113,CPLD,/run/devmap/xcvrs/xcvr_ctrl_29/xcvr_reset_29,1,0,/run/devmap/xcvrs/xcvr_ctrl_29/xcvr_present_29,1,0,113,I2C,/run/devmap/xcvrs/xcvr_io_113,113,/sys/class/leds/port125_led1:blue:status,/sys/class/leds/port125_led2:amber:status
114,1 2 3 4 5 6 7 8,1,114,CPLD,/run/devmap/xcvrs/xcvr_ctrl_30/xcvr_reset_30,1,0,/run/devmap/xcvrs/xcvr_ctrl_30/xcvr_present_30,1,0,114,I2C,/run/devmap/xcvrs/xcvr_io_114,114,/sys/class/leds/port126_led1:blue:status,/sys/class/leds/port126_led2:amber:status
115,1 2 3 4 5 6 7 8,1,115,CPLD,/run/devmap/xcvrs/xcvr_ctrl_89/xcvr_reset_89,1,0,/run/devmap/xcvrs/xcvr_ctrl_89/xcvr_present_89,1,0,115,I2C,/run/devmap/xcvrs/xcvr_io_115,115,/sys/class/leds/port29_led1:blue:status,/sys/class/leds/port29_led2:amber:status
116,1 2 3 4 5 6 7 8,1,116,CPLD,/run/devmap/xcvrs/xcvr_ctrl_90/xcvr_reset_90,1,0,/run/devmap/xcvrs/xcvr_ctrl_90/xcvr_present_90,1,0,116,I2C,/run/devmap/xcvrs/xcvr_io_116,116,/sys/class/leds/port30_led1:blue:status,/sys/class/leds/port30_led2:amber:status
