PhyId,PhyCoreId,PimId,PhyResetPath,IoControlType,IoControllerId,IoControllerResetPath,IoPath,PhyAddr
60,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_rtm_0,MDIO,16,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_2,8
61,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_rtm_0,MDIO,16,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_2,4
62,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_rtm_0,MDIO,16,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_2,2
63,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_rtm_0,MDIO,16,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_2,0
64,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_rtm_0,MDIO,17,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_3,0
65,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_rtm_0,MDIO,17,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_3,2
66,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_rtm_0,MDIO,17,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_3,4
67,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_rtm_0,MDIO,17,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_3,8
68,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_rtm_0,MDIO,18,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_4,8
69,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_rtm_0,MDIO,18,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_4,4
70,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_rtm_0,MDIO,18,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_4,2
71,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_rtm_0,MDIO,18,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_4,0
72,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_rtm_0,MDIO,19,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_5,0
73,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_rtm_0,MDIO,19,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_5,2
74,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_rtm_0,MDIO,19,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_5,4
75,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_rtm_0,MDIO,19,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_5,8
76,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_rtm_0,MDIO,20,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_6,8
77,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_rtm_0,MDIO,20,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_6,4
78,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_rtm_0,MDIO,20,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_6,2
79,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_rtm_0,MDIO,20,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_6,0
80,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_rtm_0,MDIO,21,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_7,0
