Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port
33037,33037,fab1/36/2,42,,,0,1,0
33038,33038,fab1/36/3,42,,,0,1,0
33043,33043,fab1/36/4,42,,,0,1,0
33041,33041,fab1/36/5,42,,,0,1,0
33040,33040,fab1/36/6,42,,,0,1,0
33039,33039,fab1/36/7,42,,,0,1,0
33042,33042,fab1/36/8,42,,,0,1,0
33025,33025,fab1/37/1,42,,,0,1,0
33026,33026,fab1/37/2,42,,,0,1,0
33020,33020,fab1/37/3,42,,,0,1,0
33027,33027,fab1/37/4,42,,,0,1,0
33022,33022,fab1/37/5,42,,,0,1,0
33024,33024,fab1/37/6,42,,,0,1,0
33023,33023,fab1/37/7,42,,,0,1,0
33021,33021,fab1/37/8,42,,,0,1,0
33016,33016,fab1/38/1,42,,,0,1,0
33019,33019,fab1/38/2,42,,,0,1,0
33017,33017,fab1/38/3,42,,,0,1,0
33013,33013,fab1/38/4,42,,,0,1,0
33012,33012,fab1/38/5,42,,,0,1,0
33014,33014,fab1/38/6,42,,,0,1,0
33018,33018,fab1/38/7,42,,,0,1,0
33015,33015,fab1/38/8,42,,,0,1,0
