A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYEP,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,17,TH6_NIF,5,0,0,Y,N,1,35,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,17,TH6_NIF,6,5,6,N,Y,1,35,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,17,TH6_NIF,7,4,7,Y,Y,1,35,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,18,TH6_NIF,0,4,7,Y,Y,1,36,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,18,TH6_NIF,1,5,6,N,Y,1,36,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,18,TH6_NIF,2,0,0,Y,N,1,36,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,18,TH6_NIF,3,2,1,Y,Y,1,36,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,18,TH6_NIF,4,7,5,Y,N,1,36,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,18,TH6_NIF,5,6,4,N,Y,1,36,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,18,TH6_NIF,6,1,2,N,N,1,36,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,18,TH6_NIF,7,3,3,N,Y,1,36,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,19,TH6_NIF,0,7,5,Y,N,1,37,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,19,TH6_NIF,1,6,6,N,Y,1,37,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,19,TH6_NIF,2,1,0,N,N,1,37,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,19,TH6_NIF,3,2,1,Y,Y,1,37,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,19,TH6_NIF,4,4,7,Y,Y,1,37,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,19,TH6_NIF,5,5,4,N,Y,1,37,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,19,TH6_NIF,6,0,2,Y,N,1,37,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,19,TH6_NIF,7,3,3,N,Y,1,37,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,23,TH6_NIF,0,3,3,Y,N,1,38,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,23,TH6_NIF,1,1,1,Y,Y,1,38,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,23,TH6_NIF,2,6,7,N,Y,1,38,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,23,TH6_NIF,3,7,5,Y,N,1,38,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,23,TH6_NIF,4,2,2,N,N,1,38,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,23,TH6_NIF,5,0,0,N,Y,1,38,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,23,TH6_NIF,6,5,4,N,Y,1,38,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,23,TH6_NIF,7,4,6,Y,Y,1,38,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,22,TH6_NIF,0,3,3,Y,N,1,39,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,22,TH6_NIF,1,0,1,N,Y,1,39,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,22,TH6_NIF,2,5,7,N,Y,1,39,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,22,TH6_NIF,3,4,6,Y,Y,1,39,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,22,TH6_NIF,4,2,2,N,N,1,39,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,22,TH6_NIF,5,1,0,Y,Y,1,39,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,22,TH6_NIF,6,6,4,N,Y,1,39,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,22,TH6_NIF,7,7,5,Y,N,1,39,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,21,TH6_NIF,0,7,5,Y,N,1,40,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,21,TH6_NIF,1,6,4,N,Y,1,40,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,21,TH6_NIF,2,1,0,Y,Y,1,40,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,21,TH6_NIF,3,2,2,N,N,1,40,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,21,TH6_NIF,4,4,6,Y,Y,1,40,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,21,TH6_NIF,5,5,7,N,Y,1,40,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,21,TH6_NIF,6,0,1,N,Y,1,40,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,21,TH6_NIF,7,3,3,Y,N,1,40,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,20,TH6_NIF,0,7,7,Y,Y,1,41,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,20,TH6_NIF,1,6,5,N,Y,1,41,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,20,TH6_NIF,2,2,0,Y,Y,1,41,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,20,TH6_NIF,3,0,1,N,N,1,41,BACKPLANE,0,EXAMAX,3,3,3,N,N
