Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1314,1314,eth1/37/3,47-61,,,,0,0,,
1316,1316,eth1/37/5,23-25-38-45-47-61,,,,0,0,,
1318,1318,eth1/37/7,47-61,,,,0,0,,
199,199,eth1/38/1,23-25-38-39-45-47-50-61,,,,0,0,,
1322,1322,eth1/38/3,47-61,,,,0,0,,
1324,1324,eth1/38/5,23-25-38-45-47-61,,,,0,0,,
1326,1326,eth1/38/7,47-61,,,,0,0,,
74,74,eth1/39/1,23-25-38-39-45-47-50-61,,,,0,0,,
1330,1330,eth1/39/3,47-61,,,,0,0,,
1332,1332,eth1/39/5,23-25-38-45-47-61,,,,0,0,,
1334,1334,eth1/39/7,47-61,,,,0,0,,
75,75,eth1/40/1,23-25-38-39-45-47-50-61,,,,0,0,,
1338,1338,eth1/40/3,47-61,,,,0,0,,
1340,1340,eth1/40/5,23-25-38-45-47-61,,,,0,0,,
1342,1342,eth1/40/7,47-61,,,,0,0,,
254,254,eth1/41/1,23-25-38-39-45-47-50-61,,,,0,0,,
1346,1346,eth1/41/3,47-61,,,,0,0,,
1348,1348,eth1/41/5,23-25-38-45-47-61,,,,0,0,,
1350,1350,eth1/41/7,47-61,,,,0,0,,
271,271,eth1/42/1,23-25-38-39-45-47-50-61,,,,0,0,,
1354,1354,eth1/42/3,47-61,,,,0,0,,
1356,1356,eth1/42/5,23-25-38-45-47-61,,,,0,0,,
1358,1358,eth1/42/7,47-61,,,,0,0,,
182,182,eth1/43/1,23-25-38-39-45-47-50-61,,,,0,0,,
1362,1362,eth1/43/3,47-61,,,,0,0,,
1364,1364,eth1/43/5,23-25-38-45-47-61,,,,0,0,,
1366,1366,eth1/43/7,47-61,,,,0,0,,
180,180,eth1/44/1,23-25-38-39-45-47-50-61,,,,0,0,,
1370,1370,eth1/44/3,47-61,,,,0,0,,
1372,1372,eth1/44/5,23-25-38-45-47-61,,,,0,0,,
1374,1374,eth1/44/7,47-61,,,,0,0,,
200,200,eth1/45/1,23-25-38-39-45-47-50-61,,,,0,0,,
1378,1378,eth1/45/3,47-61,,,,0,0,,
1380,1380,eth1/45/5,23-25-38-45-47-61,,,,0,0,,
1382,1382,eth1/45/7,47-61,,,,0,0,,
198,198,eth1/46/1,23-25-38-39-45-47-50-61,,,,0,0,,
1386,1386,eth1/46/3,47-61,,,,0,0,,
1388,1388,eth1/46/5,23-25-38-45-47-61,,,,0,0,,
1390,1390,eth1/46/7,47-61,,,,0,0,,
73,73,eth1/47/1,23-25-38-39-45-47-50-61,,,,0,0,,
1394,1394,eth1/47/3,47-61,,,,0,0,,
1396,1396,eth1/47/5,23-25-38-45-47-61,,,,0,0,,
1398,1398,eth1/47/7,47-61,,,,0,0,,
72,72,eth1/48/1,23-25-38-39-45-47-50-61,,,,0,0,,
1402,1402,eth1/48/3,47-61,,,,0,0,,
1404,1404,eth1/48/5,23-25-38-45-47-61,,,,0,0,,
1406,1406,eth1/48/7,47-61,,,,0,0,,
270,270,eth1/49/1,23-25-38-39-45-47-50-61,,,,0,0,,
1410,1410,eth1/49/3,47-61,,,,0,0,,
1412,1412,eth1/49/5,23-25-38-45-47-61,,,,0,0,,
1414,1414,eth1/49/7,47-61,,,,0,0,,
272,272,eth1/50/1,23-25-38-39-45-47-50-61,,,,0,0,,
1418,1418,eth1/50/3,47-61,,,,0,0,,
1420,1420,eth1/50/5,23-25-38-45-47-61,,,,0,0,,
1422,1422,eth1/50/7,47-61,,,,0,0,,
216,216,eth1/51/1,23-25-38-39-45-47-50-61,,,,0,0,,
1426,1426,eth1/51/3,47-61,,,,0,0,,
1428,1428,eth1/51/5,23-25-38-45-47-61,,,,0,0,,
1430,1430,eth1/51/7,47-61,,,,0,0,,
218,218,eth1/52/1,23-25-38-39-45-47-50-61,,,,0,0,,
1434,1434,eth1/52/3,47-61,,,,0,0,,
1436,1436,eth1/52/5,23-25-38-45-47-61,,,,0,0,,
1438,1438,eth1/52/7,47-61,,,,0,0,,
217,217,eth1/53/1,23-25-38-39-45-47-50-61,,,,0,0,,
1442,1442,eth1/53/3,47-61,,,,0,0,,
1444,1444,eth1/53/5,23-25-38-45-47-61,,,,0,0,,
1446,1446,eth1/53/7,47-61,,,,0,0,,
219,219,eth1/54/1,23-25-38-39-45-47-50-61,,,,0,0,,
1450,1450,eth1/54/3,47-61,,,,0,0,,
1452,1452,eth1/54/5,23-25-38-45-47-61,,,,0,0,,
1454,1454,eth1/54/7,47-61,,,,0,0,,
90,90,eth1/55/1,23-25-38-39-45-47-50-61,,,,0,0,,
1458,1458,eth1/55/3,47-61,,,,0,0,,
