A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,2,NPU,31,TH6_NIF,4,3,5,N,N,1,98,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,31,TH6_NIF,5,1,4,N,N,1,98,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,31,TH6_NIF,6,5,3,Y,N,1,98,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,31,TH6_NIF,7,7,1,Y,N,1,98,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,30,TH6_NIF,0,2,7,N,Y,1,97,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,30,TH6_NIF,1,0,6,Y,N,1,97,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,30,TH6_NIF,2,4,2,Y,Y,1,97,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,30,TH6_NIF,3,6,0,Y,Y,1,97,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,30,TH6_NIF,4,3,5,N,N,1,97,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,30,TH6_NIF,5,1,4,Y,N,1,97,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,30,TH6_NIF,6,5,3,Y,N,1,97,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,30,TH6_NIF,7,7,1,Y,N,1,97,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,29,TH6_NIF,0,2,7,N,Y,1,96,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,29,TH6_NIF,1,0,6,Y,N,1,96,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,29,TH6_NIF,2,4,2,Y,Y,1,96,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,29,TH6_NIF,3,6,0,Y,Y,1,96,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,29,TH6_NIF,4,3,5,N,N,1,96,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,29,TH6_NIF,5,1,4,Y,N,1,96,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,29,TH6_NIF,6,5,3,Y,N,1,96,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,29,TH6_NIF,7,7,1,Y,N,1,96,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,28,TH6_NIF,0,2,7,N,Y,1,95,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,28,TH6_NIF,1,0,6,Y,N,1,95,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,28,TH6_NIF,2,4,2,Y,Y,1,95,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,28,TH6_NIF,3,6,0,Y,Y,1,95,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,28,TH6_NIF,4,3,5,N,N,1,95,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,28,TH6_NIF,5,1,4,Y,N,1,95,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,28,TH6_NIF,6,5,3,Y,N,1,95,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,28,TH6_NIF,7,7,1,Y,N,1,95,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,32,TH6_NIF,0,6,0,N,N,1,99,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,32,TH6_NIF,1,4,2,N,N,1,99,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,32,TH6_NIF,2,0,6,N,Y,1,99,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,32,TH6_NIF,3,2,7,Y,N,1,99,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,32,TH6_NIF,4,7,1,N,Y,1,99,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,32,TH6_NIF,5,5,3,N,Y,1,99,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,32,TH6_NIF,6,1,4,N,Y,1,99,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,32,TH6_NIF,7,3,5,Y,Y,1,99,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,33,TH6_NIF,0,6,0,N,N,1,100,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,33,TH6_NIF,1,4,2,N,N,1,100,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,33,TH6_NIF,2,0,6,N,Y,1,100,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,33,TH6_NIF,3,2,7,Y,N,1,100,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,33,TH6_NIF,4,7,1,N,Y,1,100,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,33,TH6_NIF,5,5,3,N,Y,1,100,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,33,TH6_NIF,6,1,4,N,Y,1,100,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,33,TH6_NIF,7,3,5,Y,Y,1,100,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,34,TH6_NIF,0,6,0,N,N,1,101,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,34,TH6_NIF,1,4,2,N,N,1,101,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,34,TH6_NIF,2,0,6,N,Y,1,101,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,34,TH6_NIF,3,2,7,Y,N,1,101,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,34,TH6_NIF,4,7,1,N,Y,1,101,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,34,TH6_NIF,5,5,3,N,Y,1,101,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,34,TH6_NIF,6,1,4,N,Y,1,101,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,34,TH6_NIF,7,3,5,Y,Y,1,101,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,35,TH6_NIF,0,6,0,N,N,1,102,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,2,NPU,35,TH6_NIF,1,4,2,N,N,1,102,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,2,NPU,35,TH6_NIF,2,0,6,N,Y,1,102,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,2,NPU,35,TH6_NIF,3,2,7,Y,N,1,102,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,2,NPU,35,TH6_NIF,4,7,1,N,Y,1,102,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,2,NPU,35,TH6_NIF,5,5,3,N,Y,1,102,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,2,NPU,35,TH6_NIF,6,1,4,Y,Y,1,102,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,2,NPU,35,TH6_NIF,7,3,5,Y,Y,1,102,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,2,NPU,39,TH6_NIF,0,2,5,N,N,1,88,XPHY,0,AGERA3_SYSTEM,1401,1,1,N,Y
1,2,NPU,39,TH6_NIF,1,3,7,Y,Y,1,88,XPHY,0,AGERA3_SYSTEM,1403,3,3,N,Y
1,2,NPU,39,TH6_NIF,2,0,4,N,Y,1,88,XPHY,0,AGERA3_SYSTEM,1405,5,5,N,Y
1,2,NPU,39,TH6_NIF,3,1,6,N,Y,1,88,XPHY,0,AGERA3_SYSTEM,1407,7,7,N,Y
1,2,NPU,39,TH6_NIF,4,5,2,Y,N,1,88,XPHY,0,AGERA3_SYSTEM,1400,0,0,N,N
1,2,NPU,39,TH6_NIF,5,6,0,Y,N,1,88,XPHY,0,AGERA3_SYSTEM,1402,2,2,N,N
1,2,NPU,39,TH6_NIF,6,4,3,N,Y,1,88,XPHY,0,AGERA3_SYSTEM,1404,4,4,N,N
1,2,NPU,39,TH6_NIF,7,7,1,N,Y,1,88,XPHY,0,AGERA3_SYSTEM,1406,6,6,N,N
1,2,NPU,38,TH6_NIF,0,2,5,N,N,1,87,XPHY,0,AGERA3_SYSTEM,1385,1,1,N,Y
1,2,NPU,38,TH6_NIF,1,3,7,Y,Y,1,87,XPHY,0,AGERA3_SYSTEM,1387,3,3,N,Y
1,2,NPU,38,TH6_NIF,2,0,4,N,Y,1,87,XPHY,0,AGERA3_SYSTEM,1389,5,5,N,Y
1,2,NPU,38,TH6_NIF,3,1,6,N,Y,1,87,XPHY,0,AGERA3_SYSTEM,1391,7,7,N,Y
1,2,NPU,38,TH6_NIF,4,5,2,Y,N,1,87,XPHY,0,AGERA3_SYSTEM,1384,0,0,N,N
1,2,NPU,38,TH6_NIF,5,6,0,Y,N,1,87,XPHY,0,AGERA3_SYSTEM,1386,2,2,N,N
